product_id,cust_id,method,quantity,date_of_purchase
725,12541,Mail,4,9/22/2016
497,18280,Mail,1,7/6/2015
531,10411,Telephone,2,8/26/2015
312,45055,Telephone,2,7/14/2018
881,67650,Sales visit,2,12/22/2016
170,12886,Telephone,2,3/29/2018
566,39803,Fax,1,5/15/2015
616,13855,Web,3,11/7/2015
393,37984,Telephone,1,10/12/2018
221,94082,Mail,3,7/3/2018
254,76514,Mail,1,11/11/2018
620,86777,Sales visit,2,9/18/2016
997,89592,Telephone,1,7/9/2018
777,58126,Sales visit,3,10/28/2016
771,74569,Mail,5,3/19/2018
726,33346,Sales visit,3,5/11/2017
651,65877,Mail,1,5/25/2017
859,26753,Mail,4,4/21/2015
713,18297,Sales visit,1,12/19/2018
241,30468,Web,1,9/9/2016
534,66384,Telephone,3,1/18/2018
171,88882,Web,1,8/17/2015
953,74746,Sales visit,3,8/24/2015
709,79178,Telephone,3,1/5/2016
282,41876,Web,3,11/12/2015
204,62156,Fax,4,10/15/2017
640,57416,Sales visit,4,8/21/2016
219,79155,Sales visit,2,2/18/2018
345,11950,Mail,4,4/21/2017
514,36095,Fax,2,4/16/2017
289,79465,Telephone,2,5/16/2015
442,86372,Mail,2,1/18/2017
218,17154,Sales visit,3,1/30/2016
785,59331,Mail,4,4/12/2017
154,77845,Sales visit,1,6/28/2018
137,64228,Mail,4,6/15/2016
872,86856,Sales visit,2,2/12/2019
486,87856,Web,2,3/30/2016
460,49666,Fax,2,7/19/2015
113,26099,Fax,1,4/7/2018
504,85925,Web,1,5/11/2015
979,95762,Mail,1,12/26/2016
257,69409,Telephone,4,3/18/2017
277,24308,Fax,3,8/14/2017
899,26991,Mail,3,8/31/2017
563,65757,Telephone,2,3/12/2016
480,52827,Mail,2,5/23/2015
409,90745,Web,4,4/14/2016
539,43676,Fax,2,3/14/2016
797,60997,Telephone,3,11/14/2016
660,45339,Telephone,4,9/25/2017
833,10233,Telephone,4,7/24/2016
262,14683,Telephone,1,2/9/2017
847,43676,Fax,3,8/27/2017
658,66774,Web,1,3/21/2017
247,53818,Fax,4,6/27/2015
552,45503,Telephone,3,1/10/2016
411,87737,Fax,1,1/1/2019
290,48813,Web,4,6/8/2018
914,18497,Sales visit,3,2/13/2016
668,85598,Web,3,6/13/2018
500,55206,Telephone,1,7/12/2018
873,69896,Web,3,1/22/2016
